k,p,d,q,P,D,Q,time,T
2,1,0,0,0,0,0,0.11073002700140933,50
2,1,0,0,0,0,1,0.5403308419990935,50
2,1,0,0,1,0,0,0.3305322880005406,50
2,1,0,0,1,0,1,0.8185410180012695,50
2,1,0,1,0,0,0,0.20112976000018534,50
2,1,0,1,0,0,1,0.7939309559988033,50
2,1,0,1,1,0,0,0.8706523130022106,50
2,1,0,1,1,0,1,0.9458965470003022,50
2,1,0,0,0,0,0,0.11040064500048175,150
2,1,0,0,0,0,1,1.0344912510008726,150
2,1,0,0,1,0,0,1.1686702240003797,150
2,1,0,0,1,0,1,1.8629385930034914,150
2,1,0,1,0,0,0,0.1866457440009981,150
2,1,0,1,0,0,1,0.9234526100008225,150
2,1,0,1,1,0,0,1.0955482789977395,150
2,1,0,1,1,0,1,2.079729999997653,150
2,1,0,0,0,0,0,0.07918292400063365,500
2,1,0,0,0,0,1,3.439632053999958,500
2,1,0,0,1,0,0,6.531917485001031,500
2,1,0,0,1,0,1,3.1422833479991823,500
2,1,0,1,0,0,0,0.4134364169985929,500
2,1,0,1,0,0,1,4.249988532003044,500
2,1,0,1,1,0,0,5.0874969480028085,500
2,1,0,1,1,0,1,4.05436924100286,500
2,1,0,0,0,0,0,0.11351904499679222,744
2,1,0,0,0,0,1,2.668876204003027,744
2,1,0,0,1,0,0,4.263357878000534,744
2,1,0,0,1,0,1,5.177478664001683,744
2,1,0,1,0,0,0,0.8896067470013804,744
2,1,0,1,0,0,1,6.569611431001249,744
2,1,0,1,1,0,0,8.133152651000273,744
2,1,0,1,1,0,1,7.334605254000053,744
