Summary speed comparison estimating ARIMA-type models.
between Python's 'statsmodels' package and gretl's built-in aparatus.

Dataset used: ./data/electricity

Legend:
k: Number of exogenous variables (incl. intercept)
ratio: time(Python) / time(gretl)
T: sample length
p, d, q, P, D, Q: respective SARIMA parameters


         k         p         d         q         P         D         Q     ratio         T
     2.000     1.000     0.000     0.000     0.000     0.000     0.000    71.612    50.000
     2.000     1.000     0.000     0.000     0.000     0.000     1.000   252.409    50.000
     2.000     1.000     0.000     0.000     1.000     0.000     0.000    70.170    50.000
     2.000     1.000     0.000     0.000     1.000     0.000     1.000    13.363    50.000
     2.000     1.000     0.000     1.000     0.000     0.000     0.000   389.026    50.000
     2.000     1.000     0.000     1.000     0.000     0.000     1.000   251.331    50.000
     2.000     1.000     0.000     1.000     1.000     0.000     0.000   152.028    50.000
     2.000     1.000     0.000     1.000     1.000     0.000     1.000       nan    50.000

         k         p         d         q         P         D         Q     ratio         T
     2.000     1.000     0.000     0.000     0.000     0.000     0.000   214.530   150.000
     2.000     1.000     0.000     0.000     0.000     0.000     1.000   266.426   150.000
     2.000     1.000     0.000     0.000     1.000     0.000     0.000   392.847   150.000
     2.000     1.000     0.000     0.000     1.000     0.000     1.000    44.258   150.000
     2.000     1.000     0.000     1.000     0.000     0.000     0.000   169.700   150.000
     2.000     1.000     0.000     1.000     0.000     0.000     1.000   154.813   150.000
     2.000     1.000     0.000     1.000     1.000     0.000     0.000   200.396   150.000
     2.000     1.000     0.000     1.000     1.000     0.000     1.000    94.890   150.000

         k         p         d         q         P         D         Q     ratio         T
     2.000     1.000     0.000     0.000     0.000     0.000     0.000    46.485   500.000
     2.000     1.000     0.000     0.000     0.000     0.000     1.000   263.114   500.000
     2.000     1.000     0.000     0.000     1.000     0.000     0.000  1072.107   500.000
     2.000     1.000     0.000     0.000     1.000     0.000     1.000   156.242   500.000
     2.000     1.000     0.000     1.000     0.000     0.000     0.000    71.163   500.000
     2.000     1.000     0.000     1.000     0.000     0.000     1.000   170.018   500.000
     2.000     1.000     0.000     1.000     1.000     0.000     0.000   420.875   500.000
     2.000     1.000     0.000     1.000     1.000     0.000     1.000   119.827   500.000

         k         p         d         q         P         D         Q     ratio         T
     2.000     1.000     0.000     0.000     0.000     0.000     0.000    52.148   744.000
     2.000     1.000     0.000     0.000     0.000     0.000     1.000   154.960   744.000
     2.000     1.000     0.000     0.000     1.000     0.000     0.000   475.544   744.000
     2.000     1.000     0.000     0.000     1.000     0.000     1.000   191.071   744.000
     2.000     1.000     0.000     1.000     0.000     0.000     0.000   115.788   744.000
     2.000     1.000     0.000     1.000     0.000     0.000     1.000   274.934   744.000
     2.000     1.000     0.000     1.000     1.000     0.000     0.000   765.818   744.000
     2.000     1.000     0.000     1.000     1.000     0.000     1.000   147.624   744.000

