Summary speed comparison estimating ARIMA-type models.
between Python's 'statsmodels' package and gretl's built-in apparatus.

Dataset used: ./data/electricity.csv

Legend:
k: Number of exogenous variables (incl. intercept)
ratio: time(Python) / time(gretl)
T: sample length
p, d, q, P, D, Q: respective SARIMA parameters


         k         p         d         q         P         D         Q     ratio         T
     2.000     1.000     0.000     0.000     0.000     0.000     0.000   104.214    50.000
     2.000     1.000     0.000     0.000     0.000     0.000     1.000   921.115    50.000
     2.000     1.000     0.000     0.000     1.000     0.000     0.000   387.487    50.000
     2.000     1.000     0.000     0.000     1.000     0.000     1.000   604.610    50.000
     2.000     1.000     0.000     1.000     0.000     0.000     0.000   356.454    50.000
     2.000     1.000     0.000     1.000     0.000     0.000     1.000   994.446    50.000
     2.000     1.000     0.000     1.000     1.000     0.000     0.000   639.574    50.000
     2.000     1.000     0.000     1.000     1.000     0.000     1.000   597.165    50.000

         k         p         d         q         P         D         Q     ratio         T
     2.000     1.000     0.000     0.000     0.000     0.000     0.000   254.626   150.000
     2.000     1.000     0.000     0.000     0.000     0.000     1.000   722.975   150.000
     2.000     1.000     0.000     0.000     1.000     0.000     0.000   557.668   150.000
     2.000     1.000     0.000     0.000     1.000     0.000     1.000   532.198   150.000
     2.000     1.000     0.000     1.000     0.000     0.000     0.000   129.406   150.000
     2.000     1.000     0.000     1.000     0.000     0.000     1.000   530.360   150.000
     2.000     1.000     0.000     1.000     1.000     0.000     0.000   315.756   150.000
     2.000     1.000     0.000     1.000     1.000     0.000     1.000   613.605   150.000

         k         p         d         q         P         D         Q     ratio         T
     2.000     1.000     0.000     0.000     0.000     0.000     0.000    62.697   500.000
     2.000     1.000     0.000     0.000     0.000     0.000     1.000   501.449   500.000
     2.000     1.000     0.000     0.000     1.000     0.000     0.000   977.901   500.000
     2.000     1.000     0.000     0.000     1.000     0.000     1.000   283.050   500.000
     2.000     1.000     0.000     1.000     0.000     0.000     0.000    62.054   500.000
     2.000     1.000     0.000     1.000     0.000     0.000     1.000   769.268   500.000
     2.000     1.000     0.000     1.000     1.000     0.000     0.000   491.848   500.000
     2.000     1.000     0.000     1.000     1.000     0.000     1.000   295.669   500.000

         k         p         d         q         P         D         Q     ratio         T
     2.000     1.000     0.000     0.000     0.000     0.000     0.000    63.766   744.000
     2.000     1.000     0.000     0.000     0.000     0.000     1.000   227.211   744.000
     2.000     1.000     0.000     0.000     1.000     0.000     0.000   463.396   744.000
     2.000     1.000     0.000     0.000     1.000     0.000     1.000   337.743   744.000
     2.000     1.000     0.000     1.000     0.000     0.000     0.000    75.617   744.000
     2.000     1.000     0.000     1.000     0.000     0.000     1.000   701.828   744.000
     2.000     1.000     0.000     1.000     1.000     0.000     0.000   541.396   744.000
     2.000     1.000     0.000     1.000     1.000     0.000     1.000   360.170   744.000

