Summary of gretl's timing results
using its built-in command 'arima'.

Dataset used: ./data/electricity.csv

Legend:
k: Number of exogenous variables (incl. intercept)
T: sample length
fcount: Number of function evaluations
gcount: Number of gradient evaluations
p, d, q, P, D, Q: respective SARIMA parameters


         k         p         d         q         P         D         Q      time         T    fcount    gcount
     2.000     1.000     0.000     0.000     0.000     0.000     0.000     0.001    50.000    41.000    13.000
     2.000     1.000     0.000     0.000     0.000     0.000     1.000     0.001    50.000    56.000    15.000
     2.000     1.000     0.000     0.000     1.000     0.000     0.000     0.001    50.000    29.000    10.000
     2.000     1.000     0.000     0.000     1.000     0.000     1.000     0.001    50.000    71.000    21.000
     2.000     1.000     0.000     1.000     0.000     0.000     0.000     0.001    50.000    56.000    15.000
     2.000     1.000     0.000     1.000     0.000     0.000     1.000     0.001    50.000    63.000    19.000
     2.000     1.000     0.000     1.000     1.000     0.000     0.000     0.001    50.000    71.000    21.000
     2.000     1.000     0.000     1.000     1.000     0.000     1.000     0.002    50.000    74.000    22.000

         k         p         d         q         P         D         Q      time         T    fcount    gcount
     2.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000   150.000    32.000     6.000
     2.000     1.000     0.000     0.000     0.000     0.000     1.000     0.001   150.000    61.000    18.000
     2.000     1.000     0.000     0.000     1.000     0.000     0.000     0.002   150.000    32.000     8.000
     2.000     1.000     0.000     0.000     1.000     0.000     1.000     0.004   150.000    66.000    19.000
     2.000     1.000     0.000     1.000     0.000     0.000     0.000     0.001   150.000    61.000    18.000
     2.000     1.000     0.000     1.000     0.000     0.000     1.000     0.002   150.000    63.000    19.000
     2.000     1.000     0.000     1.000     1.000     0.000     0.000     0.003   150.000    66.000    19.000
     2.000     1.000     0.000     1.000     1.000     0.000     1.000     0.003   150.000    42.000    14.000

         k         p         d         q         P         D         Q      time         T    fcount    gcount
     2.000     1.000     0.000     0.000     0.000     0.000     0.000     0.001   500.000    29.000     8.000
     2.000     1.000     0.000     0.000     0.000     0.000     1.000     0.007   500.000   149.000    37.000
     2.000     1.000     0.000     0.000     1.000     0.000     0.000     0.007   500.000    36.000     8.000
     2.000     1.000     0.000     0.000     1.000     0.000     1.000     0.011   500.000    75.000    20.000
     2.000     1.000     0.000     1.000     0.000     0.000     0.000     0.007   500.000   149.000    37.000
     2.000     1.000     0.000     1.000     0.000     0.000     1.000     0.006   500.000    77.000    18.000
     2.000     1.000     0.000     1.000     1.000     0.000     0.000     0.010   500.000    75.000    20.000
     2.000     1.000     0.000     1.000     1.000     0.000     1.000     0.014   500.000    76.000    22.000

         k         p         d         q         P         D         Q      time         T    fcount    gcount
     2.000     1.000     0.000     0.000     0.000     0.000     0.000     0.002   744.000    31.000     6.000
     2.000     1.000     0.000     0.000     0.000     0.000     1.000     0.012   744.000   196.000    42.000
     2.000     1.000     0.000     0.000     1.000     0.000     0.000     0.009   744.000    41.000     8.000
     2.000     1.000     0.000     0.000     1.000     0.000     1.000     0.015   744.000    80.000    19.000
     2.000     1.000     0.000     1.000     0.000     0.000     0.000     0.012   744.000   196.000    42.000
     2.000     1.000     0.000     1.000     0.000     0.000     1.000     0.009   744.000    69.000    18.000
     2.000     1.000     0.000     1.000     1.000     0.000     0.000     0.015   744.000    80.000    19.000
     2.000     1.000     0.000     1.000     1.000     0.000     1.000     0.020   744.000    90.000    21.000

