Summary speed comparison estimating ARIMA-type models.
between Python's 'statsmodels' package and gretl's built-in aparatus.

Dataset used: ./data/electricity

Legend:
k: Number of exogenous variables (incl. intercept)
ratio: time(Python) / time(gretl)
T: sample length
p, d, q, P, D, Q: respective SARIMA parameters


         k         p         d         q         P         D         Q     ratio         T
     2.000     1.000     0.000     0.000     0.000     0.000     0.000    71.717    50.000
     2.000     1.000     0.000     0.000     0.000     0.000     1.000   321.949    50.000
     2.000     1.000     0.000     0.000     1.000     0.000     0.000    92.482    50.000
     2.000     1.000     0.000     0.000     1.000     0.000     1.000    26.017    50.000
     2.000     1.000     0.000     1.000     0.000     0.000     0.000   401.421    50.000
     2.000     1.000     0.000     1.000     0.000     0.000     1.000   247.097    50.000
     2.000     1.000     0.000     1.000     1.000     0.000     0.000   152.166    50.000
     2.000     1.000     0.000     1.000     1.000     0.000     1.000       nan    50.000

         k         p         d         q         P         D         Q     ratio         T
     2.000     1.000     0.000     0.000     0.000     0.000     0.000   205.499   150.000
     2.000     1.000     0.000     0.000     0.000     0.000     1.000   244.613   150.000
     2.000     1.000     0.000     0.000     1.000     0.000     0.000   356.600   150.000
     2.000     1.000     0.000     0.000     1.000     0.000     1.000    45.341   150.000
     2.000     1.000     0.000     1.000     0.000     0.000     0.000   168.406   150.000
     2.000     1.000     0.000     1.000     0.000     0.000     1.000   166.639   150.000
     2.000     1.000     0.000     1.000     1.000     0.000     0.000   179.176   150.000
     2.000     1.000     0.000     1.000     1.000     0.000     1.000    90.972   150.000

         k         p         d         q         P         D         Q     ratio         T
     2.000     1.000     0.000     0.000     0.000     0.000     0.000    38.822   500.000
     2.000     1.000     0.000     0.000     0.000     0.000     1.000   269.415   500.000
     2.000     1.000     0.000     0.000     1.000     0.000     0.000  1148.477   500.000
     2.000     1.000     0.000     0.000     1.000     0.000     1.000   139.954   500.000
     2.000     1.000     0.000     1.000     0.000     0.000     0.000    88.597   500.000
     2.000     1.000     0.000     1.000     0.000     0.000     1.000   177.250   500.000
     2.000     1.000     0.000     1.000     1.000     0.000     0.000   392.468   500.000
     2.000     1.000     0.000     1.000     1.000     0.000     1.000   119.553   500.000

         k         p         d         q         P         D         Q     ratio         T
     2.000     1.000     0.000     0.000     0.000     0.000     0.000    51.904   744.000
     2.000     1.000     0.000     0.000     0.000     0.000     1.000   149.728   744.000
     2.000     1.000     0.000     0.000     1.000     0.000     0.000   477.117   744.000
     2.000     1.000     0.000     0.000     1.000     0.000     1.000   188.626   744.000
     2.000     1.000     0.000     1.000     0.000     0.000     0.000   121.625   744.000
     2.000     1.000     0.000     1.000     0.000     0.000     1.000   265.406   744.000
     2.000     1.000     0.000     1.000     1.000     0.000     0.000   797.841   744.000
     2.000     1.000     0.000     1.000     1.000     0.000     1.000   142.573   744.000

